,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
16,Tottenham,Swansea,08/25/2013 16:00:00,3,6,20,0,1-0,1,1,1.62,4,6.5,1.57,3.75,6.25,1.5,4,6.1,1.57,4,5.5,1.62,4.04,6.45,36,23.4,21,296,8.22,31,25.5,27,118.58,3.83,77,80,78,80,79,74,75,76
17,Man City,Hull,08/31/2013 12:45:00,7,3,13,3,2-0,2,2,1.17,8.5,19,1.16,7.25,15.5,1.2,5.8,13,1.16,7.5,15,1.19,8.04,18.58,27,25.7,21,479,17.74,33,26.4,22,69.9,2.12,84,83,81,82,72,71,71,72
18,Newcastle,Fulham,08/31/2013 15:00:00,18,1,12,3,1-0,2,2,2.15,3.4,3.75,2.05,3.3,3.6,2.1,3.3,3.3,2.1,3.4,3.4,2.15,3.49,3.73,33,24.4,26,188.85,5.72,44,25.4,33,148.35,3.37,78,75,76,76,71,74,72,75
19,Norwich,Southampton,08/31/2013 15:00:00,15,1,6,4,1-0,2,2,3,3.3,2.55,2.85,3.25,2.45,2.6,3.2,2.6,2.7,3.3,2.55,3.06,3.35,2.53,29,26.2,17,95.75,3.3,31,23.9,16,102.5,3.31,74,74,74,74,76,76,73,75
20,West Ham,Stoke,08/31/2013 15:00:00,5,4,10,3,0-1,2,2,2,3.4,4.33,1.91,3.5,3.9,1.9,3.45,3.8,2,3.3,3.8,2.05,3.51,4.03,42,25.3,22,128.25,3.05,29,26.1,20,126,4.34,76,74,72,74,76,73,73,74
21,Crystal Palace,Sunderland,08/31/2013 17:30:00,19,0,16,1,3-1,2,2,2.6,3.3,3,2.55,3.25,2.75,2.4,3.2,2.85,2.5,3.3,2.7,2.54,3.31,3.09,41,26.2,24,64.25,1.57,37,24.9,28,151.25,4.09,71,72,71,72,74,73,73,74
22,West Brom,Swansea,09/01/2013 13:30:00,17,1,20,0,0-2,2,2,2.7,3.4,2.8,2.55,3.4,2.65,2.3,3.3,2.9,2.4,3.4,2.8,2.67,3.47,2.8,30,26.6,21,91.95,3.07,31,25.5,27,118.58,3.83,70,74,72,74,79,74,75,76
23,Arsenal,Tottenham,09/01/2013 16:00:00,9,3,3,6,1-0,2,2,2.1,3.7,3.6,2,3.5,3.6,2,3.4,3.5,2.1,3.6,3.2,2.15,3.7,3.52,37,23.8,30,332.7,8.99,36,23.4,21,296,8.22,79,81,80,80,77,80,78,80
24,Aston Villa,Newcastle,09/14/2013 15:00:00,13,3,12,4,1-2,3,3,2.15,3.4,3.8,2.1,3.3,3.5,2.2,3.3,3.1,2.1,3.25,3.5,2.13,3.49,3.79,34,24,20,116.3,3.42,33,24.4,26,188.85,5.72,72,71,74,74,78,75,76,76
25,Fulham,West Brom,09/14/2013 15:00:00,17,3,20,1,1-1,3,3,2.15,3.5,3.6,2.15,3.4,3.6,2.1,3.3,3.3,2.1,3.3,3.5,2.14,3.54,3.69,44,25.4,33,148.35,3.37,30,26.6,21,91.95,3.07,71,74,72,75,70,74,72,74
26,Stoke,Man City,09/14/2013 15:00:00,5,6,3,6,0-0,3,3,6,4,1.65,5.25,3.9,1.62,5.4,3.7,1.6,5.5,3.5,1.66,6.09,4.02,1.65,29,26.1,20,126,4.34,27,25.7,21,479,17.74,76,73,73,74,84,83,81,82
27,Sunderland,Arsenal,09/14/2013 15:00:00,19,1,4,6,1-3,3,3,6,3.9,1.67,5.75,3.8,1.6,4.7,3.6,1.7,5,3.75,1.7,5.79,3.9,1.69,37,24.9,28,151.25,4.09,37,23.8,30,332.7,8.99,74,73,73,74,79,81,80,80
28,Tottenham,Norwich,09/14/2013 15:00:00,6,6,9,4,2-0,3,3,1.45,4.75,8,1.42,4.25,8,1.45,4,7,1.44,4.5,6.5,1.46,4.71,8.27,36,23.4,21,296,8.22,29,26.2,17,95.75,3.3,77,80,78,80,74,74,74,74
29,Everton,Chelsea,09/14/2013 17:30:00,15,3,2,7,1-0,3,3,3.4,3.3,2.35,3.4,3.4,2.2,3.6,3.3,2,3.5,3.4,2.05,3.27,3.38,2.39,30,25.9,22,217.5,7.25,48,23.8,40,582.98,12.15,78,78,78,78,81,82,81,82
30,Southampton,West Ham,09/15/2013 16:00:00,10,4,8,4,0-0,3,3,1.85,3.6,4.75,1.83,3.7,4,1.9,3.45,3.8,1.85,3.5,4.33,1.8,3.74,5.08,31,23.9,16,102.5,3.31,42,25.3,22,128.25,3.05,76,76,73,75,76,74,72,74
31,Swansea,Liverpool,09/16/2013 20:00:00,16,3,1,9,2-2,3,3,3.5,3.5,2.2,3.6,3.4,2.15,3.6,3.3,2,3.4,3.4,2.1,3.48,3.47,2.25,31,25.5,27,118.58,3.83,31,23.8,22,272.5,8.79,79,74,75,76,76,79,78,80
32,Norwich,Aston Villa,09/21/2013 12:45:00,15,4,17,3,0-1,4,4,2.4,3.4,3.2,2.4,3.3,2.9,2.2,3.3,3.1,2.4,3.3,2.9,2.44,3.44,3.13,29,26.2,17,95.75,3.3,34,24,20,116.3,3.42,74,74,74,74,72,71,74,74
33,West Brom,Sunderland,09/21/2013 15:00:00,19,2,20,1,3-0,4,4,2.05,3.4,4.2,1.95,3.4,3.9,2,3.3,3.6,2.1,3.3,3.6,2.07,3.5,3.97,30,26.6,21,91.95,3.07,37,24.9,28,151.25,4.09,70,74,72,74,74,73,73,74
34,West Ham,Everton,09/21/2013 15:00:00,10,5,9,6,2-3,4,4,3.3,3.3,2.4,3,3.3,2.35,2.7,3.3,2.45,2.87,3.25,2.4,3.39,3.34,2.35,42,25.3,22,128.25,3.05,30,25.9,22,217.5,7.25,76,74,72,74,78,78,78,78
35,Liverpool,Southampton,09/21/2013 15:00:00,1,10,11,5,0-1,4,4,1.6,4,6.5,1.57,4,5.75,1.55,3.9,5.6,1.53,4,6.5,1.61,4.13,6.38,31,23.8,22,272.5,8.79,31,23.9,16,102.5,3.31,76,79,78,80,76,76,73,75
36,Newcastle,Hull,09/21/2013 15:00:00,8,7,16,4,2-3,4,4,1.85,3.5,5,1.75,3.4,5,1.85,3.45,4,1.75,3.6,4.8,1.83,3.65,4.97,33,24.4,26,188.85,5.72,33,26.4,22,69.9,2.12,78,75,76,76,72,71,71,72
37,Chelsea,Fulham,09/21/2013 17:30:00,6,7,14,4,2-0,4,4,1.3,5.75,12,1.25,5.5,11.5,1.3,5,9,1.3,5.5,10,1.28,6,13.6,48,23.8,40,582.98,12.15,44,25.4,33,148.35,3.37,81,82,81,82,71,74,72,75
38,Arsenal,Stoke,09/22/2013 13:30:00,2,9,7,7,3-1,4,4,1.36,5.25,10,1.35,4.75,8.75,1.35,4.8,7.6,1.36,4.5,9,1.36,5.25,10.95,37,23.8,30,332.7,8.99,29,26.1,20,126,4.34,79,81,80,80,76,73,73,74
39,Crystal Palace,Swansea,09/22/2013 13:30:00,18,3,13,4,0-2,4,4,3.5,3.4,2.25,3.1,3.3,2.3,2.7,3.3,2.45,3.2,3.3,2.3,3.45,3.4,2.29,41,26.2,24,64.25,1.57,31,25.5,27,118.58,3.83,71,72,71,72,79,74,75,76
40,Tottenham,Chelsea,09/28/2013 12:45:00,2,12,4,10,1-1,5,5,2.7,3.3,2.88,2.65,3.3,2.6,2.6,3.2,2.6,2.7,3.25,2.7,2.65,3.38,2.88,36,23.4,21,296,8.22,48,23.8,40,582.98,12.15,77,80,78,80,81,82,81,82
41,Aston Villa,Man City,09/28/2013 15:00:00,13,6,3,10,3-2,5,5,6.5,4.2,1.57,7,4.1,1.48,5.6,3.9,1.55,6.5,4,1.53,6.87,4.2,1.57,34,24,20,116.3,3.42,27,25.7,21,479,17.74,72,71,74,74,84,83,81,82
42,Hull,West Ham,09/28/2013 15:00:00,11,7,15,5,1-0,5,5,2.38,3.3,3.3,2.35,3.2,3.1,2.3,3.2,3,2.37,3.25,3,2.41,3.3,3.31,33,26.4,22,69.9,2.12,42,25.3,22,128.25,3.05,72,71,71,72,76,74,72,74
43,Southampton,Crystal Palace,09/28/2013 15:00:00,7,8,19,3,2-0,5,5,1.45,4.5,8.5,1.45,4.2,7.25,1.5,4,6.1,1.5,4,7,1.47,4.44,8.77,31,23.9,16,102.5,3.31,41,26.2,24,64.25,1.57,76,76,73,75,71,72,71,72
44,Swansea,Arsenal,09/28/2013 17:30:00,9,7,1,12,1-2,5,5,3.2,3.4,2.38,3.1,3.4,2.25,3.3,3.3,2.1,3.2,3.3,2.3,3.17,3.43,2.42,31,25.5,27,118.58,3.83,37,23.8,30,332.7,8.99,79,74,75,76,79,81,80,80
45,Stoke,Norwich,09/29/2013 13:30:00,10,7,17,4,0-1,5,5,1.95,3.4,4.5,1.95,3.3,4,1.9,3.45,3.8,1.95,3.3,4,1.97,3.47,4.46,29,26.1,20,126,4.34,29,26.2,17,95.75,3.3,76,73,73,74,74,74,74,74
46,Sunderland,Liverpool,09/29/2013 16:00:00,20,1,5,10,1-3,5,5,5.5,3.9,1.7,5,3.8,1.65,5,3.55,1.67,5.5,3.5,1.66,5.62,3.99,1.69,37,24.9,28,151.25,4.09,31,23.8,22,272.5,8.79,74,73,73,74,76,79,78,80
47,Everton,Newcastle,09/30/2013 20:00:00,6,9,12,7,3-2,5,5,1.65,4,6,1.6,3.9,5.5,1.65,3.6,5.1,1.62,3.75,5.5,1.63,4.06,6.22,30,25.9,22,217.5,7.25,33,24.4,26,188.85,5.72,78,78,78,78,78,75,76,76
48,Man City,Everton,10/05/2013 12:45:00,7,10,4,12,3-1,6,6,1.67,4.2,5.5,1.62,4,5,1.6,3.7,5.4,1.61,3.8,5.5,1.66,4.2,5.61,27,25.7,21,479,17.74,30,25.9,22,217.5,7.25,84,83,81,82,78,78,78,78
49,Fulham,Stoke,10/05/2013 15:00:00,18,4,15,7,1-0,6,6,2.4,3.3,3.3,2.3,3.3,3.1,2.2,3.2,3.2,2.2,3.3,3.25,2.42,3.23,3.36,44,25.4,33,148.35,3.37,29,26.1,20,126,4.34,71,74,72,75,76,73,73,74
50,Hull,Aston Villa,10/05/2013 15:00:00,8,10,9,9,0-0,6,6,2.45,3.3,3.2,2.35,3.2,3.1,2.4,3.3,2.75,2.4,3.25,2.9,2.38,3.35,3.32,33,26.4,22,69.9,2.12,34,24,20,116.3,3.42,72,71,71,72,72,71,74,74
51,Liverpool,Crystal Palace,10/05/2013 15:00:00,2,13,19,3,3-1,6,6,1.2,7.5,17,1.2,6.5,13,1.22,5.5,12,1.22,6,13,1.23,7.04,15.66,31,23.8,22,272.5,8.79,41,26.2,24,64.25,1.57,76,79,78,80,71,72,71,72
52,Norwich,Chelsea,10/06/2013 13:30:00,14,7,5,11,1-3,6,6,6.5,4,1.62,6,4.1,1.53,5.4,3.7,1.6,6,3.8,1.57,6.46,4.18,1.6,29,26.2,17,95.75,3.3,48,23.8,40,582.98,12.15,74,74,74,74,81,82,81,82
53,Southampton,Swansea,10/06/2013 13:30:00,6,11,13,7,2-0,6,6,2.1,3.5,3.8,2.05,3.4,3.5,2,3.3,3.6,2,3.4,3.75,2.05,3.45,4.11,31,23.9,16,102.5,3.31,31,25.5,27,118.58,3.83,76,76,73,75,79,74,75,76
54,Tottenham,West Ham,10/06/2013 16:00:00,3,13,17,5,0-3,6,6,1.44,4.75,8.5,1.42,4.4,7.75,1.45,4,7,1.4,4.5,8,1.44,4.77,8.5,36,23.4,21,296,8.22,42,25.3,22,128.25,3.05,77,80,78,80,76,74,72,74
55,West Brom,Arsenal,10/06/2013 16:00:00,10,8,1,15,1-1,6,6,4.9,4,1.75,4.6,3.8,1.7,4.5,3.5,1.75,4.2,3.75,1.8,4.8,3.87,1.81,30,26.6,21,91.95,3.07,37,23.8,30,332.7,8.99,70,74,72,74,79,81,80,80
56,Newcastle,Liverpool,10/19/2013 12:45:00,11,10,2,16,2-2,7,7,4.5,3.9,1.83,4.2,3.75,1.78,4,3.45,1.85,4.2,3.6,1.85,4.55,3.92,1.83,33,24.4,26,188.85,5.72,31,23.8,22,272.5,8.79,78,75,76,76,76,79,78,80
57,Arsenal,Norwich,10/19/2013 15:00:00,1,16,18,7,4-1,7,7,1.29,6,12,1.25,5.5,12,1.27,5.2,10,1.28,5.5,9.5,1.29,5.87,12.88,37,23.8,30,332.7,8.99,29,26.2,17,95.75,3.3,79,81,80,80,74,74,74,74
58,Everton,Hull,10/19/2013 15:00:00,7,12,8,11,2-1,7,7,1.45,4.5,9,1.42,4.2,8.25,1.5,4,6.1,1.45,4.2,7.5,1.46,4.57,8.74,30,25.9,22,217.5,7.25,33,26.4,22,69.9,2.12,78,78,78,78,72,71,71,72
59,Stoke,West Brom,10/19/2013 15:00:00,16,7,12,9,0-0,7,7,2.3,3.3,3.5,2.25,3.2,3.25,2.1,3.3,3.3,2.3,3.25,3.2,2.26,3.36,3.57,29,26.1,20,126,4.34,30,26.6,21,91.95,3.07,76,73,73,74,70,74,72,74
60,Swansea,Sunderland,10/19/2013 15:00:00,15,7,20,1,4-0,7,7,1.62,4,6.5,1.55,3.9,6,1.6,3.7,5.4,1.61,3.8,5.5,1.57,4.17,6.95,31,25.5,27,118.58,3.83,37,24.9,28,151.25,4.09,79,74,75,76,74,73,73,74
61,West Ham,Man City,10/19/2013 17:30:00,13,8,5,13,1-3,7,7,5.5,3.8,1.73,5,3.8,1.65,5.1,3.6,1.65,5,3.75,1.66,5.7,3.88,1.7,42,25.3,22,128.25,3.05,27,25.7,21,479,17.74,76,74,72,74,84,83,81,82
62,Aston Villa,Tottenham,10/20/2013 16:00:00,10,10,6,13,0-2,7,7,4,3.5,2.05,3.75,3.5,1.95,3.8,3.45,1.9,3.75,3.4,2,4.12,3.54,2.02,34,24,20,116.3,3.42,36,23.4,21,296,8.22,72,71,74,74,77,80,78,80
63,Crystal Palace,Fulham,10/21/2013 20:00:00,19,3,17,7,1-4,7,7,2.75,3.3,2.8,2.65,3.3,2.6,2.75,3.3,2.4,2.62,3.3,2.62,2.71,3.37,2.82,41,26.2,24,64.25,1.57,44,25.4,33,148.35,3.37,71,72,71,72,71,74,72,75
64,Crystal Palace,Arsenal,10/26/2013 12:45:00,19,3,1,19,0-2,8,8,11,5,1.36,8.5,5,1.33,7.6,4.8,1.35,8,4.5,1.36,9.85,5.2,1.38,41,26.2,24,64.25,1.57,37,23.8,30,332.7,8.99,71,72,71,72,79,81,80,80
65,Aston Villa,Everton,10/26/2013 15:00:00,13,10,7,15,0-2,8,8,3.4,3.4,2.3,3.4,3.3,2.15,3.1,3.3,2.2,3.2,3.25,2.25,3.46,3.52,2.23,34,24,20,116.3,3.42,30,25.9,22,217.5,7.25,72,71,74,74,78,78,78,78
66,Liverpool,West Brom,10/26/2013 15:00:00,3,17,12,10,4-1,8,8,1.44,4.75,8,1.36,4.75,8.25,1.37,4.6,7.5,1.4,4.5,7.5,1.43,4.96,8.23,31,23.8,22,272.5,8.79,30,26.6,21,91.95,3.07,76,79,78,80,70,74,72,74
67,Southampton,Fulham,10/26/2013 17:30:00,6,15,14,10,2-0,8,8,1.62,4,6.5,1.57,3.8,6,1.6,3.7,5.4,1.61,3.75,5.5,1.61,4.18,6.2,31,23.9,16,102.5,3.31,44,25.4,33,148.35,3.37,76,76,73,75,71,74,72,75
68,Sunderland,Newcastle,10/27/2013 13:30:00,20,1,10,11,2-1,8,8,2.9,3.3,2.63,2.65,3.3,2.6,2.75,3.3,2.4,2.7,3.3,2.6,2.91,3.42,2.61,37,24.9,28,151.25,4.09,33,24.4,26,188.85,5.72,74,73,73,74,78,75,76,76
69,Chelsea,Man City,10/27/2013 16:00:00,2,17,4,16,2-1,8,8,2.38,3.4,3.2,2.35,3.3,2.95,2.2,3.3,3.1,2.37,3.3,2.9,2.44,3.41,3.15,48,23.8,40,582.98,12.15,27,25.7,21,479,17.74,81,82,81,82,84,83,81,82
70,Tottenham,Hull,10/27/2013 16:00:00,5,16,9,11,1-0,8,8,1.44,4.75,8,1.4,4.2,8.75,1.4,4.4,7.3,1.4,4.5,7.5,1.43,4.77,9.15,36,23.4,21,296,8.22,33,26.4,22,69.9,2.12,77,80,78,80,72,71,71,72
71,Swansea,West Ham,10/27/2013 16:00:00,11,10,15,8,0-0,8,8,1.75,3.8,5.25,1.65,3.8,5,1.75,3.5,4.5,1.75,3.6,4.6,1.71,3.98,5.36,31,25.5,27,118.58,3.83,42,25.3,22,128.25,3.05,79,74,75,76,76,74,72,74
72,Newcastle,Chelsea,11/02/2013 12:45:00,11,11,2,20,2-0,9,9,6,4.2,1.62,5.5,4,1.57,5.1,3.6,1.65,5.5,4,1.6,5.93,4.17,1.64,33,24.4,26,188.85,5.72,48,23.8,40,582.98,12.15,78,75,76,76,81,82,81,82
73,West Ham,Aston Villa,11/02/2013 15:00:00,15,9,13,10,0-0,9,9,2.25,3.5,3.4,2.15,3.4,3.3,2.1,3.3,3.3,2.2,3.4,3.2,2.18,3.45,3.68,42,25.3,22,128.25,3.05,34,24,20,116.3,3.42,76,74,72,74,72,71,74,74
74,Hull,Sunderland,11/02/2013 15:00:00,10,11,19,4,1-0,9,9,2.15,3.4,3.8,2.05,3.3,3.6,2,3.3,3.6,2.1,3.3,3.5,2.17,3.33,3.86,33,26.4,22,69.9,2.12,37,24.9,28,151.25,4.09,72,71,71,72,74,73,73,74
75,Man City,Norwich,11/02/2013 15:00:00,7,16,18,8,7-0,9,9,1.2,7.5,18,1.17,7.5,13,1.17,6.5,14,1.2,6.5,13,1.18,7.9,21.16,27,25.7,21,479,17.74,29,26.2,17,95.75,3.3,84,83,81,82,74,74,74,74
76,Stoke,Southampton,11/02/2013 15:00:00,17,8,5,18,1-1,9,9,3.3,3.3,2.4,3.2,3.1,2.35,2.85,3.3,2.35,2.87,3.3,2.4,3.36,3.25,2.41,29,26.1,20,126,4.34,31,23.9,16,102.5,3.31,76,73,73,74,76,76,73,75
77,West Brom,Crystal Palace,11/02/2013 15:00:00,12,10,20,3,2-0,9,9,1.55,4.2,7,1.5,4.2,6.25,1.57,3.75,5.6,1.6,3.6,6,1.53,4.34,7.35,30,26.6,21,91.95,3.07,41,26.2,24,64.25,1.57,70,74,72,74,71,72,71,72
78,Arsenal,Liverpool,11/02/2013 17:30:00,1,22,3,20,2-0,9,9,2.3,3.5,3.3,2.15,3.4,3.25,2.2,3.3,3.1,2.2,3.4,3.2,2.34,3.4,3.34,37,23.8,30,332.7,8.99,31,23.8,22,272.5,8.79,79,81,80,80,76,79,78,80
79,Everton,Tottenham,11/03/2013 13:30:00,6,18,4,19,0-0,9,9,2.5,3.4,3,2.4,3.3,2.9,2.5,3.3,2.65,2.4,3.3,2.87,2.54,3.43,2.99,30,25.9,22,217.5,7.25,36,23.4,21,296,8.22,78,78,78,78,77,80,78,80
80,Chelsea,West Brom,11/09/2013 15:00:00,2,20,11,13,2-2,10,10,1.29,6,12,1.28,5.5,9.75,1.27,5.2,10,1.28,5.5,10,1.31,5.75,11.83,48,23.8,40,582.98,12.15,30,26.6,21,91.95,3.07,81,82,81,82,70,74,72,74
81,Crystal Palace,Everton,11/09/2013 15:00:00,20,3,7,19,0-0,10,10,6.5,4,1.62,6,3.8,1.57,5.2,3.8,1.6,6.5,4,1.53,6.32,4.05,1.62,41,26.2,24,64.25,1.57,30,25.9,22,217.5,7.25,71,72,71,72,78,78,78,78
82,Liverpool,Fulham,11/09/2013 15:00:00,3,20,16,10,4-0,10,10,1.25,6.5,15,1.26,5.5,11,1.25,5.5,10.3,1.25,5.5,12,1.27,6.25,14.18,31,23.8,22,272.5,8.79,44,25.4,33,148.35,3.37,76,79,78,80,71,74,72,75
83,Southampton,Hull,11/09/2013 15:00:00,6,19,10,14,4-1,10,10,1.62,3.8,7,1.53,3.9,6.5,1.53,3.85,6,1.57,3.6,6.5,1.56,3.96,7.82,31,23.9,16,102.5,3.31,33,26.4,22,69.9,2.12,76,76,73,75,72,71,71,72
84,Norwich,West Ham,11/09/2013 17:30:00,18,8,15,10,3-1,10,10,2.63,3.3,2.9,2.4,3.25,2.95,2.4,3.2,2.85,2.4,3.3,2.9,2.57,3.26,3.09,29,26.2,17,95.75,3.3,42,25.3,22,128.25,3.05,74,74,74,74,76,74,72,74
85,Tottenham,Newcastle,11/10/2013 12:00:00,4,20,9,14,0-1,10,10,1.57,4.33,6.5,1.5,4.2,6.25,1.53,3.85,6,1.5,4.2,6.5,1.54,4.32,7.15,36,23.4,21,296,8.22,33,24.4,26,188.85,5.72,77,80,78,80,78,75,76,76
86,Sunderland,Man City,11/10/201314:05:00,19,4,5,19,1-0,10,10,9,5,1.4,8.25,5,1.34,7.3,4.4,1.4,7.5,4.5,1.4,8.97,5.06,1.41,37,24.9,28,151.25,4.09,27,25.7,21,479,17.74,74,73,73,74,84,83,81,82
87,Swansea,Stoke,11/10/2013 16:10:00,13,11,17,9,3-3,10,10,2,3.4,4.33,1.87,3.3,4.4,1.85,3.45,4,1.83,3.4,4.5,2,3.45,4.35,31,25.5,27,118.58,3.83,29,26.1,20,126,4.34,79,74,75,76,76,73,73,74
88,Everton,Liverpool,11/23/2013 12:45:00,6,20,2,23,3-3,11,11,3,3.4,2.5,2.85,3.25,2.45,2.75,3.2,2.5,2.8,3.3,2.5,2.99,3.4,2.56,30,25.9,22,217.5,7.25,31,23.8,22,272.5,8.79,78,78,78,78,76,79,78,80
89,Arsenal,Southampton,11/23/2013 15:00:00,1,25,3,22,2-0,11,11,1.62,4.2,6,1.57,4.1,5.5,1.55,3.9,5.6,1.57,4,6,1.61,4.21,6.18,37,23.8,30,332.7,8.99,31,23.9,16,102.5,3.31,79,81,80,80,76,76,73,75
90,Fulham,Swansea,11/23/2013 15:00:00,18,10,13,12,1-2,11,11,3.3,3.3,2.38,3.1,3.3,2.25,2.9,3.3,2.3,3,3.25,2.37,3.48,3.27,2.34,44,25.4,33,148.35,3.37,31,25.5,27,118.58,3.83,71,74,72,75,79,74,75,76
91,Hull,Crystal Palace,11/23/2013 15:00:00,12,14,20,4,0-1,11,11,1.85,3.5,5,1.8,3.3,4.75,1.8,3.5,4.2,1.83,3.4,4.5,1.87,3.49,5.07,33,26.4,22,69.9,2.12,41,26.2,24,64.25,1.57,72,71,71,72,71,72,71,72
