,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,AATT,AMID,ADEF,AOVR
312,Tottenham,Man City,05/03/2015 16:00:00,6,58,,67,0-1,34,34,3.75,3.75,2.05,3.6,3.6,2.05,3.5,3.75,2.05,3.69,3.81,2.07,3.75,3.3,2.05,42,23.7,25,298.25,7.1,36,25.4,29,478,13.28,78,77,77,78,83,82,81,82
313,Hull,Arsenal,05/04/2015 20:00:00,15,34,,67,1-3,34,33,5.5,4,1.7,5.25,3.8,1.7,5.25,3.8,1.67,5.52,3.9,1.72,5.5,3.5,1.7,35,26.1,24,122.25,3.49,42,23,29,404.35,9.63,75,73,70,73,80,80,77,80
314,Everton,Sunderland,05/09/2015 12:45:00,11,44,18,33,0-2,35,34,1.8,3.75,5,1.8,3.6,4.75,1.8,3.6,4.8,1.79,3.8,5.06,1.73,3.5,5,40,24.3,19,177.5,4.44,34,24.8,20,115.25,3.39,78,78,78,78,76,73,72,74
315,Aston Villa,West Ham,05/09/2015 15:00:00,14,35,9,47,1-0,35,35,1.91,3.7,4.33,1.95,3.5,3.7,1.95,3.6,4,1.91,3.69,4.45,1.95,3.4,4,38,24.3,20,127,3.34,36,24.8,21,123,3.42,72,74,74,75,75,74,72,75
316,Stoke,Tottenham,05/09/2015 15:00:00,10,47,6,58,3-0,35,35,2.9,3.4,2.6,2.7,3.25,2.55,2.9,3.4,2.5,2.9,3.45,2.59,2.8,3.1,2.62,30,26.4,23,128.85,4.3,42,23.7,25,298.25,7.1,76,75,74,76,78,77,77,78
317,Hull,Burnley,05/09/2015 15:00:00,17,34,20,26,0-1,35,35,1.95,3.5,4.5,1.95,3.4,3.75,1.95,3.4,4.2,1.93,3.58,4.5,1.95,3.4,4,35,26.1,24,122.25,3.49,30,25.5,13,36.75,1.23,75,73,70,73,71,70,71,70
318,Leicester,Southampton,05/09/2015 15:00:00,,34,7,57,2-0,35,35,2.6,3.4,2.9,2.6,3.25,2.65,2.62,3.4,2.75,2.62,3.35,2.94,2.62,3.1,2.8,37,25.9,18,55.85,1.51,37,23.5,20,150.4,4.06,71,72,68,72,77,75,76,76
319,Newcastle,West Brom,05/09/2015 15:00:00,15,35,13,40,1-1,35,35,2.55,3.3,3,2.55,3.3,2.9,2.45,3.3,3,2.5,3.36,3.09,2.62,3.1,2.8,42,22.9,26,139.85,3.33,34,25.5,22,100.6,2.96,74,75,74,75,74,74,71,74
320,Man City,QPR,05/10/2015 13:30:00,,70,19,27,6-0,35,35,1.22,7.5,13,1.22,7.25,11.5,1.22,7,13,1.23,7.4,13.75,1.22,6,13,36,25.4,29,478,13.28,41,25.1,24,115.05,2.81,83,82,81,82,74,74,71,75
321,Chelsea,Liverpool,05/10/2015 16:00:00,1,83,5,61,1-1,35,35,2.1,3.5,3.8,2.1,3.3,3.8,2,3.4,3.9,2.1,3.44,3.96,2.1,3.2,3.75,38,23.9,28,526.1,13.84,35,23.4,21,285,8.14,82,82,81,83,79,78,75,79
322,Arsenal,Swansea,05/11/2015 20:00:00,,70,8,53,0-1,34,35,1.3,6,11,1.3,5.75,10,1.33,5.25,9.5,1.31,5.93,11.5,1.33,5,9,42,23,29,404.35,9.63,36,24.3,30,107.7,2.99,80,80,77,80,77,74,74,75
323,Southampton,Aston Villa,05/16/2015 12:45:00,7,57,14,38,6-1,36,36,1.75,3.8,5.25,1.78,3.5,4.5,1.75,3.75,5,1.76,3.83,5.25,1.75,3.5,5,37,23.5,20,150.4,4.06,38,24.3,20,127,3.34,77,75,76,76,72,74,74,75
324,QPR,Newcastle,05/16/2015 15:00:00,20,27,,36,2-1,36,36,3.1,3.5,2.4,2.95,3.4,2.45,2.9,3.5,2.5,3.01,3.57,2.45,2.9,3.25,2.4,41,25.1,24,115.05,2.81,42,22.9,26,139.85,3.33,74,74,71,75,74,75,74,75
325,Burnley,Stoke,05/16/2015 15:00:00,19,29,9,50,0-0,36,36,2.7,3.3,2.88,2.65,3.2,2.65,2.62,3.3,2.9,2.61,3.39,2.92,2.7,3.1,2.7,30,25.5,13,36.75,1.23,30,26.4,23,128.85,4.3,71,70,71,70,76,75,74,76
326,Sunderland,Leicester,05/16/2015 15:00:00,,36,15,37,0-0,35,36,2.8,3.3,2.75,2.65,3.2,2.65,2.75,3.3,2.75,2.83,3.3,2.75,2.7,3.1,2.7,34,24.8,20,115.25,3.39,37,25.9,18,55.85,1.51,76,73,72,74,71,72,68,72
327,Tottenham,Hull,05/16/2015 15:00:00,6,58,18,34,2-0,36,36,1.8,3.8,4.75,1.75,3.8,4.25,1.8,3.75,4.75,1.79,3.99,4.72,1.8,3.3,5,42,23.7,25,298.25,7.1,35,26.1,24,122.25,3.49,78,77,77,78,75,73,70,73
328,West Ham,Everton,05/16/2015 15:00:00,10,47,11,44,1-2,36,36,2.9,3.4,2.6,2.65,3.2,2.6,2.8,3.4,2.62,2.99,3.5,2.51,2.8,3.1,2.6,36,24.8,21,123,3.42,40,24.3,19,177.5,4.44,75,74,72,75,78,78,78,78
329,Liverpool,Crystal Palace,05/16/2015 17:30:00,5,62,12,42,1-3,36,36,1.45,4.75,8,1.45,4.75,7,1.5,4.5,6.5,1.49,4.76,7.23,1.44,4.2,8,35,23.4,21,285,8.14,42,26,25,89.3,2.13,79,78,75,79,73,73,73,73
330,Swansea,Man City,05/17/2015 13:30:00,8,56,2,73,2-4,36,36,4.75,4.2,1.75,5,3.75,1.75,4.5,4,1.75,5.03,4.23,1.71,5,3.5,1.75,36,24.3,30,107.7,2.99,36,25.4,29,478,13.28,77,74,74,75,83,82,81,82
331,West Brom,Chelsea,05/18/2015 20:00:00,13,41,1,84,3-0,36,36,4.1,3.5,2,4,3.5,2,4,3.5,1.95,4.21,3.54,2,4,3.1,2.05,34,25.5,22,100.6,2.96,38,23.9,28,526.1,13.84,74,74,71,74,82,82,81,83
332,Arsenal,Sunderland,05/20/2015 19:45:00,3,71,16,37,0-0,36,36,1.3,6,11,1.3,5.75,10,1.3,5.5,11,1.32,5.46,12.31,1.29,5.5,11,42,23,29,404.35,9.63,34,24.8,20,115.25,3.39,80,80,77,80,76,73,72,74
333,Arsenal,West Brom,05/24/2015 15:00:00,3,72,13,44,4-1,37,37,1.4,5.25,8.5,1.4,4.75,7,1.36,5,9,1.43,4.91,8.53,1.4,4.5,8,42,23,29,404.35,9.63,34,25.5,22,100.6,2.96,80,80,77,80,74,74,71,74
334,Aston Villa,Burnley,05/24/2015 15:00:00,16,38,19,30,0-1,37,37,2.1,3.6,3.75,2.1,3.5,3.25,2.1,3.4,3.6,2.12,3.67,3.65,2.1,3.3,3.5,38,24.3,20,127,3.34,30,25.5,13,36.75,1.23,72,74,74,75,71,70,71,70
335,Chelsea,Sunderland,05/24/2015 15:00:00,1,84,15,38,3-1,37,37,1.36,5.25,9.5,1.36,5.25,8.75,1.36,5,9,1.36,5.33,10.43,1.36,4.5,10,38,23.9,28,526.1,13.84,34,24.8,20,115.25,3.39,82,82,81,83,76,73,72,74
336,Crystal Palace,Swansea,05/24/2015 15:00:00,12,45,8,56,1-0,37,37,2.25,3.6,3.3,2.2,3.2,3.3,2.2,3.5,3.2,2.21,3.7,3.38,2.3,3.2,3.2,42,26,25,89.3,2.13,36,24.3,30,107.7,2.99,73,73,73,73,77,74,74,75
337,Everton,Tottenham,05/24/2015 15:00:00,10,47,6,61,0-1,37,37,2.4,3.6,3,2.35,3.4,2.85,2.4,3.4,3,2.31,3.72,3.12,2.4,3.1,3.1,40,24.3,19,177.5,4.44,42,23.7,25,298.25,7.1,78,78,78,78,78,77,77,78
338,Leicester,QPR,05/24/2015 15:00:00,14,38,20,30,5-1,37,37,1.6,4.33,6,1.6,3.8,5.5,1.62,4,5.5,1.57,4.57,6.02,1.62,3.8,5.5,37,25.9,18,55.85,1.51,41,25.1,24,115.05,2.81,71,72,68,72,74,74,71,75
339,Man City,Southampton,05/24/2015 15:00:00,2,76,7,60,2-0,37,37,1.57,4.5,6,1.55,4,5.75,1.57,4.2,6,1.6,4.62,5.59,1.57,3.8,6,36,25.4,29,478,13.28,37,23.5,20,150.4,4.06,83,82,81,82,77,75,76,76
340,Newcastle,West Ham,05/24/2015 15:00:00,17,36,11,47,2-0,37,37,1.83,4,4.33,1.8,3.9,4.4,1.8,3.75,4.5,1.79,4,4.69,1.8,3.5,4.5,42,22.9,26,139.85,3.33,36,24.8,21,123,3.42,74,75,74,75,75,74,72,75
341,Stoke,Liverpool,05/24/2015 15:00:00,9,51,5,62,6-1,37,37,3.5,3.6,2.15,3.25,3.4,2.15,3.3,3.5,2.2,3.51,3.7,2.15,3.3,3.3,2.2,30,26.4,23,128.85,4.3,35,23.4,21,285,8.14,76,75,74,76,79,78,75,79
